UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
APPTC,CT,Accompagnement au Projet Personnel de formation,UV ing.,,C,6 h,TD,6 h,,,THE,25 h,,,,,,,Automne,Printemps,,Picto UE en ligne|Maîtrise de français : *   niveau B2,1 crédits,FRA,L'UE a pour objectif d'apporter des éléments de connaissance et de méthode afin de développer son projet professionnel dès le début du cursus universitaire et d'y adapter ses choix de formation. Son but est de former à la démarche compétence et à la démarche réseau.,,,,,,,savoir identifier les compétences à acquérir et les consolider pour un/des métier(s)cible(s),savoir évaluer son niveau relatif aux différentes compétences identifiées,savoir identifier les actions et activités pédagogiques ou autres permettant d'acquérir de nouvelles compétences ou d'améliorer son niveau de compétence,"savoir mettre en ½uvre une stratégie de formation personnelle construite, cohérente et évolutive",savoir présenter ses compétences à travers un portfolio,savoir engager des entretiens construits avec des professionnels afin de mieux cerner les compétences propres aux métiers désirés ,,,,,
APP10,ME,Conduite du projet de professionnalisation,UV ing.,,C,28 h,,,TP,10 h,THE,50 h,,,,,,,Automne,Printemps,,Maîtrise du français : * niveau B2 |Intervenants extérieurs supérieur ou égal à 75% ***,4 crédits,FRA,La définition du projet de professionnalisation vise à la compréhension du futur environnement professionnel de l'étudiant et de ses mutations. Elle doit permettre à l'étudiant d'opérer des choix éclairés quant à sa son orientation professionnelle de fin de formation.,,,,,,,Développer une vision de l'environnement professionnel via la découverte d'entreprises au cours des conférences industrielles « Les jeudis de l'entreprise »,Développer un projet professionnel via la participation aux évènements du BAIP,Journées de simulation d'entretiens,Forum UTT / Entreprises,Entretiens individuels,"Mettre en ½uvre une démarche d'identification et de préparation à une candidature à un poste en lien avec le diplôme préparé (choix de métiers, identifications de postes en concordance, identification et interview d'une personne exerçant ce poste, synthèse personnelle).",,,,,
AP03,CT,"Image, imaginaire et nouvelles technologies",UV ing.,,,,TD,42 h,,,THE,60 h,,,,,,,Automne,Printemps,,,4 crédits,FRA,"exprimer dans une série d'images son univers personnel, donner image(s) à son imaginaire grâce au traitement actuel de la photographie en infographie",,,,,,,panorama du traitement de l'image depuis l'apparition des nouvelles technologies,"problématique du collage, des oeuvres peintes d'Arcimboldo à l'époque de la Renaissance aux images virtuelles d'artistes et de graphistes contemporains en passant par les Surréalistes et les Dadaïstes",recherches et élaboration d'un projet d'images sous forme de portfolio,réalisation d'une galerie virtuelle,,,,,,,
BESST,TM,Bases essentielles en santé et sécurité au travail,UV ing.,,C,2 h,TD,4 h,,,THE,40 h,,,,,,,Printemps,,,Intervenants : *  supérieur ou égal à 15%,2 crédits,FRA,"A partir de contenus proposés par l'INRS, il s'agit de dispenser une formation de base dans le domaine de la santé et de la sécurité professionnelles",,,,,,,connaître les champs d'application et les enjeux de la SST ,"savoir identifier des dangers, des situations dangereuses pouvant causer des accidents du travail",acquérir des notions de bases en SST,savoir comment sont évalués les risques dans l'entreprise,comprendre les processus de management de la SST en entreprise,,,,,,
BIO1,CS,"Bioeconomy : concepts, principles, economic and sustainability challenges",UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,"ANG, FRA","Provide the necessary scientific knowledge to understand the current state of and debates on bioeconomy, (i) in order to analyze, contextualize and measure its sustainability stakes and (ii) be informed on the current organization of the agribusiness sector of biorefinery in order to enhance employability",,,,,,,"understand and acquire bioeconomy's vocabulary, knowledge, scientific concepts and current paradigms (from bioeconomics to bioeconomy ; bioeconomy in weak and strong sustainability) ","grasp the benchmarks of experts, discussions and scientific debates on the sustainability evaluation of bio-based value chains, for agricultural, forest and algae biomass",know how to identify the sustainability stakes of biomass production and valorization in a variety of geographic and economic contexts ,"be able to organize and formalize the key elements of a sustainability analysis at different geographic scales (territorial, regional and global) and different system scales (biorefinery system, value chain)","know the economic, institutional and legal framework and main economic actors of the bioeconomy agribusiness sector (production and valorization of biomass, existing and emerging markets) in Europe and the world","know the public policies and private stakeholders,strategies of biomass production, valorization and biorefineries in Europe and other world regions",,,,,
BIO2,CS,Bioeconomy project : implementing the sustainable biorefinery,UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,"ANG, FRA","Execute as a group, on a case study, a sustainability analysis of a biorefinery system in its multiple aspects and scales throughout the value chain",,,,,,,"implement on a biorefinery system case study a sustainability analysis at the territorial scale, taking into consideration its links to the agricultural production upstream and market valorization downstream ","understand and integrate in the sustainability analysis the legal, institutional and industrial risk prevention framework (by applying skills acquired in other UE of the master, BI01 and EV04) ",use and adapt the material flow analysis approach acquired in ME05 to the sustainability analysis of a biorefinery system  ,use field trips to challenge sustainability benchmarks created for the sustainability analysis of the biorefinery system case study ,"be able to recommend appropriate methods for environmental, social and economic impacts assessment of the biorefinery system case study ",be able to suggest technical or organizational changes to improve the sustainability of the biorefinery system case study ,know how to cooperate and organize as a team for the implementation of the sustainability analysis of the case study,,,,
CL01,TM,Organisation logistique des échanges commerciaux,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,15 h,,,,,Printemps,,,Intervenants extérieurs supérieur à 40%**,6 crédits,FRA,Gérer les opérations logistiques d'un projet d'exportation ou d'importation,,,,,,,connaître les acteurs globaux du commerce international,"budgéter, financer et assurer les opérations de la logistique du commerce international","planifier et organiser le flux logistique internationale et gérer le transport (maritime, aérien, routier)",négocier et établir les contrats d'achat ou de vente avec des acteurs internationaux,,,,,,,
CL02,TM,"Conditionnement, manutention et entreposage",UV ing.,,C,28 h,TD,28 h,TP,10 h,THE,84 h,,,,,,,Automne,,,ouverte à l'alternance,6 crédits,FRA,L'organisation et la gestion des entrepôts doivent permettre une gestion optimisée des flux internes à ceux-ci en fonction des flux externes entrants et sortants.,,,,,,,savoir organiser les réceptions ,identifier les différents types de configuration et déterminer la plus adaptée,proposer des types de moyens de manutention adaptés,être capables de dimensionner et mettre en place un mode de gestion opérationnelle des outils de manutention,"mettre en ½uvre les techniques d'emballage et de conditionnement des marchandises : palettisation, problèmes de placement",exploiter les principes de préparation des expéditions,,,,,
CL03,TM,Logistique de transport et de distribution,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,30 h,,,,,Printemps,,MT14,ouverte à l'alternance|Maîtrise du français : * niveau B2,6 crédits,FRA,Cette UE aborde les principales problématiques qui se posent aux transporteurs.,,,,,,savoir analyser un réseau de transport,"connaître les véhicules de transport, leur législation, et les modes de conditionnements du fret (palettes, conteneurs)",savoir modéliser et calculer des plus courts chemins et des flux de marchandises dans un réseau de transport,connaître les principaux problèmes de tournées de véhicules et de gestion de flotte,savoir utiliser un logiciel d'optimisation pour des problèmes de transport,,,,,,,
CL04,TM,Conception et gestion de la chaîne logistique - Coordination des relations clients-fournisseurs,UV ing.,,C,28 h,TD,28 h,,,THE,84 h,PRJ,30 h,,,,,Printemps,,,ouverte à l'alternance|Maîtrise du français : * niveau B2|Drapeau français anglais|,6 crédits,"ANG, FRA","Conception des réseaux logistiques, gestion des stocks, prévision de la demande, gestion de l'approvisionnement et de la distribution, partage d'informations, collaboration, et technologies de l'information dans la gestion de la chaîne logistique",,,,,,,être capable de concevoir une chaîne logistique dans une perspective globale,être capable d'optimiser globalement les activités d'une chaîne logistique,comprendre l'importance du partage d'informations dans une chaîne logistique,être capable de coordonner des relations entre clients et fournisseurs,connaître les systèmes d'information et logiciels pour la gestion de la chaîne logistique ,,,,,,
